super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
2533,Montana State University - Northern,Havre,MT,56100,33600,15.079901,0.2524595,23.936848,0,3.6096528,0,-4.4454389,-11.40697,232.3333333
10286,SUNY Empire State College,Albany,NY,76000,39000,14.019026,0.51000834,25.704639,0.014686624,3.6035399,0.002058922,-2.2663343,-2.5276923,202.3333333
3598,Our Lady Of The Lake University,San Antonio,TX,46000,38800,22.076452,0,16.320995,0.03521454,3.6030967,0.007774121,-3.0956645,0.67922163,242.6666667
2534,Rocky Mountain College,Billings,MT,72600,38800,10.021361,1.6157581,35.887569,0.10828188,3.5964229,0.010851319,-3.4508746,-10.808513,133.6666667
3424,Claflin University,Columbia,SC,35400,33600,31.608564,0.086995028,11.363832,0.030257801,3.5919442,0.009564056,-30.440474,-39.228256,272
2026,Southern University At New Orleans,New Orleans,LA,32100,27300,37.862129,0.068971127,9.4593534,0.31346714,3.5815127,0.11868534,-3.2363162,5.5042787,265
1466,Barry University,Miami,FL,69500,39200,15.535042,2.8029113,22.995251,0.82351619,3.5723217,0.12793358,4.8217745,8.1028461,272.6666667
30627,"Platt College of Alhambra, CA",Los Angeles,CA,48500,24500,25.964409,0.60673004,13.625627,0.16522442,3.5378132,0.042899545,-3.3619947,3.9405308,99.66666667
30353,Southern Careers Institute,San Antonio,TX,28900,17100,47.105648,0.11852375,7.4901476,0.1933814,3.5282829,0.091093563,-15.556823,-11.214062,406
2772,Mercy College,New York,NY,50700,31100,22.385523,0.36037382,15.746564,0.019822124,3.5249505,0.004437286,-3.3915229,-6.0267339,591.6666667
3211,Oregon Institute Of Technology,Klamath Falls,OR,76400,51900,9.7608461,0.11763991,36.084667,1.0991013,3.5221689,0.1072816,-1.2615291,-8.426733,312.6666667
9204,Kiamichi Technology Center,Fort Smith,OK,29800,18000,43.620117,0.07732749,8.0230541,1.8306168,3.4996657,0.79851717,-12.592058,-9.6296864,111
